[header]
width=60
height=30
viewRequestedX=2
viewRequestedY=1
levelStartX=11
levelStartY=16
tilewidth=32
tileheight=32


[ennemi]
2-25,5-25//4-10,4-4//6-4,13-4//6-6,13-6,13-8,6-8//7-23,7-27//12-23,10-23,10-25,12-25,12-27,10-27,12-27,12-25,10-25,10-23//13-10,6-10//15-4,15-10//17-25,14-25

[tilesets]
tileset=../../Images/Tiles/Ice_tiles.png,32,32,0,0

[layer]
type=Base
data=
48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,116,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,
58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,
